DESCRIPTION,PARKING_ZONE,PERMIT_ZONE,STALL_TYPE,STATUS,ADDRESS_DESC,CTP_CLASS,DOT,ENFORCEABLE_TIME,NO_PARKING,NO_STOPPING,PARKING_RESTRICTION,TIME_RESTRICTION,CAMERA,OCTANT,line,Global_ID
R840,Z,Z,Parallel,Active,1700 Block 6 AV NW,Collector,E,0800-1700 MON-FR,,,120,0800-1700 MON-FR,FR,NW,"MULTILINESTRING ((-114.098641 51.0575562, -114.0987358 51.057556, -114.0989327 51.0575555, -114.0991296 51.057555, -114.0992484 51.0575548, -114.0992498 51.0575548))",8d5d67f9-683f-4a12-b663-e32560c5ca7e
R1110,E,E,Parallel,Active,3500 Block MORLEY TR NW,Collector,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1213625 51.0820441, -114.1231883 51.0825275))",bedfa307-1456-4bd6-ba1e-e7bd0e7f98cb
R1114,D,D,Parallel,Active,600 Block 17 AV SE,Residential Street,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SE,"MULTILINESTRING ((-114.0455034 51.0377927, -114.045505 51.0377927, -114.0455774 51.0377925, -114.0457756 51.037792, -114.0459285 51.0377916))",5232f3cc-79e9-4185-9a7a-927077d8ad3f
R1838,E,E,Parallel,Active,3500 Block MORLEY TR NW,Collector,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1233199 51.0825637, -114.1233826 51.0825809, -114.1234352 51.0825947, -114.123447 51.0825978))",3c640b3e-70ba-4a23-ba2d-a321de79585d
R203,D,D,Parallel,Active,600 Block 17 AV SE,Residential Street,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SE,"MULTILINESTRING ((-114.0450259 51.0377927, -114.0452942 51.0377924))",0fbecf6b-6cb5-4413-84d6-805edb7179a2
R6973,E,E,Parallel,Active,3500 Block MORLEY TR NW,Collector,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1202903 51.0817056, -114.1204806 51.081799, -114.1205208 51.0818137, -114.1205585 51.081827, -114.1206049 51.0818422, -114.1206806 51.0818639, -114.1207646 51.0818852, -114.1208612 51.0819107, -114.1209332 51.0819304, -114.1209872 51.0819447, -114.1213625 51.0820441))",046e323e-3c77-4ab8-8f3d-0579893bd010
R762,E,E,Parallel,Active,3500 Block MORLEY TR NW,Collector,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1235466 51.0826239, -114.1236092 51.0826411, -114.1236642 51.0826579, -114.1237248 51.0826825, -114.1237667 51.0826965, -114.1237967 51.0827111, -114.123841 51.0827354, -114.1241137 51.0829043))",e20be307-e71c-4baa-9442-ae23467d3b15
R4471,NA,NA,Parallel,Active,200 Block 8 ST SW,Residential Street,N,0001-2359 MON-SUN,,,Special Permit,NONE,FR,SW,"MULTILINESTRING ((-114.0807993 51.0510765, -114.0808061 51.0509978))",648168d5-0c56-4290-afa0-15667695a150
R1000,AA,AA,Parallel,Active,00 Block COLLINGWOOD PL NW,Residential Street,E,0001-2359 MON-FRI,,,Permit Required,MON-FRI,FR,NW,"MULTILINESTRING ((-114.1024482 51.0869114, -114.1024585 51.0869242, -114.1024708 51.0869367, -114.1024845 51.0869466, -114.102494 51.0869532, -114.1025074 51.0869597, -114.1025266 51.0869702, -114.1025583 51.0869813, -114.1037599 51.0872301, -114.1038032 51.0872248, -114.103832 51.0872157))",6d372f87-093d-41dd-afaa-bbb01d67001b
R1151,EE,EE,Parallel,Active,4400 Block RICHARDSON LINK SW,Residential Street,E,0001-2359 MON-FRI,,,Permit Required,MON-FRI,FR,SW,"MULTILINESTRING ((-114.1348523 51.0153255, -114.1350228 51.0154145))",3955c691-eb51-47f5-9f34-4fb1e4d4c795
R1787,F,F,Parallel,Active,1300 Block 17 AV NW,Residential Street,E,0001-2359 MON-FRI,,,Permit Required,MON-FRI,FR,NW,"MULTILINESTRING ((-114.0899644 51.0678106, -114.0911404 51.0678076, -114.0920362 51.0678104))",80a4f80d-1241-4aab-9c40-1924ef10f4ca
R1918,C,C,Parallel,Active,100 Block 15 AV SE,Residential Street,E,0001-2359 MON-SUN,,,Permit Required,NONE,FL,SE,"MULTILINESTRING ((-114.0616297 51.0385923, -114.0614518 51.0385881))",30692162-88b1-4b0a-aaa5-a2fd8bb378b2
R1925,O,O,Parallel,Active,2100 Block 20 AV SW,Collector,E,0001-2359 MON-SUN,,,Permit Required,NONE,FR,SW,"MULTILINESTRING ((-114.1105104 51.0352638, -114.1106017 51.035257))",09d42ebb-c989-496c-8eb4-df108327bcb4
R4473,NA,NA,Parallel,Active,400 Block 10 ST SW,Residential Street,N,0001-2359 MON-SUN,,,30,NONE,FR,SW,"MULTILINESTRING ((-114.085863 51.0493815, -114.0858782 51.0491694))",8dda6b6e-cdda-490d-80af-78c4f2952546
R4476,NA,NA,Parallel,Active,200 Block 8 ST SW,Residential Street,N,0001-2359 SUN,,,Special Permit,SUN,FR,SW,"MULTILINESTRING ((-114.080767 51.051211, -114.0807863 51.0511598, -114.0807963 51.0511129))",167d0bd8-b25e-4611-8c14-4535c38ec351
R1673,ZZ,ZZ,Parallel,Active,2400 Block ERLTON RD SW,Residential Street,N,0700-1800 MON-FRI,,,120,0700-1800 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0611039 51.0314569, -114.0611098 51.0306271, -114.0611061 51.0306043))",e677b093-31db-43e9-9805-1a7c5ff8b44e
R1674,ZZ,ZZ,Parallel,Active,2300 Block ERLTON RD SW,Residential Street,N,0700-1800 MON-FRI,,,120,0700-1800 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0610879 51.033227, -114.0610905 51.0332116, -114.0610984 51.0324819))",10fd595a-eae9-460b-a66e-6dea6923a9ed
R4518,NA,NA,Parallel,Active,800 Block 5 ST SE,Residential Street,N,0700-1800 MON-FRI,,,120,0700-1800 MON-FRI,FR,SE,"MULTILINESTRING ((-114.0507032 51.0450027, -114.050697 51.0449992, -114.0506931 51.0449973, -114.0506899 51.044995, -114.0506873 51.0449923, -114.0506854 51.0449895, -114.0506844 51.0449865, -114.0506842 51.0449834, -114.0506909 51.0448892, -114.0507056 51.0446804, -114.0507186 51.0444977, -114.0507194 51.0444854, -114.0507209 51.0444781, -114.0507243 51.044471, -114.0507295 51.0444644, -114.0507325 51.0444608, -114.050735 51.0444572))",fe7fd12a-a449-4c99-9cee-0dd0ce717b99
R5201,ZZ,ZZ,Parallel,Active,2400 Block ERLTON RD SW,Residential Street,N,0700-1800 MON-FRI,,,120,0700-1800 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0610782 51.0318469, -114.0610858 51.0318392, -114.061087 51.031838, -114.0610881 51.0318369, -114.0610892 51.0318357, -114.0610903 51.0318345, -114.0610912 51.0318333, -114.0610925 51.0318316, -114.0610937 51.0318298, -114.0610948 51.0318281, -114.0610959 51.0318264, -114.061097 51.0318246, -114.0610976 51.0318235, -114.0610983 51.0318223, -114.0610989 51.0318212, -114.0610995 51.03182, -114.0611001 51.0318189, -114.0611008 51.0318174, -114.0611014 51.031816, -114.061102 51.0318145, -114.0611025 51.0318131, -114.0611029 51.0318116, -114.0611034 51.0318097, -114.0611037 51.0318078, -114.061104 51.0318059, -114.0611043 51.0318039, -114.0611044 51.031802, -114.0611046 51.0317999, -114.0611047 51.0317978, -114.0611049 51.0317958, -114.061105 51.0317937, -114.0611051 51.0317916, -114.0611052 51.0317893, -114.0611054 51.031787, -114.0611055 51.0317848, -114.0611056 51.0317825, -114.0611057 51.0317802, -114.0611058 51.0317775, -114.0611058 51.0317748, -114.0611059 51.031772, -114.0611059 51.0317693, -114.0611059 51.0317666, -114.061106 51.0317623, -114.0611061 51.031758, -114.0611062 51.0317538, -114.0611062 51.0317495, -114.0611061 51.0317452, -114.0611058 51.0317385, -114.0611055 51.0317317, -114.0611051 51.031725, -114.0611047 51.0317182, -114.0611044 51.0317114, -114.0611038 51.0317008, -114.0611032 51.0316902, -114.0611026 51.0316796, -114.061102 51.031669, -114.0611015 51.0316584, -114.061101 51.0316455, -114.061101 51.0316326, -114.0611013 51.0316197, -114.0611018 51.0316067, -114.0611024 51.0315938, -114.0611027 51.0315357, -114.0611039 51.0314588, -114.0611039 51.0314569))",3c10dc4b-62d0-4037-81a9-e298343570bd
R7152,ZZ,ZZ,Parallel,Active,2300 Block ERLTON RD SW,Residential Street,N,0700-1800 MON-FRI,,,120,0700-1800 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0610984 51.0324819, -114.061103 51.0320552, -114.061102 51.0320357, -114.0610984 51.0320226, -114.0610919 51.0320102))",c2b69b87-8832-4b05-a07a-893370113443
R1764,Z,Z,Parallel,Active,600 Block 16A ST NW,Residential Street,N,0800-1700 MON-FR,,,120,0800-1700 MON-FR,FR,NW,"MULTILINESTRING ((-114.0992978 51.0574447, -114.0992958 51.0564045))",39cb181b-77f8-40a0-9c44-1659e80bc5e8
R7020,Z,Z,Parallel,Active,400 Block 16A ST NW,Residential Street,N,0800-1700 MON-FR,,,120,0800-1700 MON-FR,FR,NW,"MULTILINESTRING ((-114.099295 51.0560078, -114.0992936 51.055285))",434b80cf-4250-4417-9208-03d5d20cf17d
R7034,Z,Z,Parallel,Active,300 Block 16A ST NW,Residential Street,N,0800-1700 MON-FR,,,120,0800-1700 MON-FR,FR,NW,"MULTILINESTRING ((-114.0992936 51.055285, -114.0992923 51.0546189))",4b6c21a5-5c01-430c-8dbc-75eafcd35c98
R7566,Z,Z,Parallel,Active,400 Block 16A ST NW,Residential Street,N,0800-1700 MON-FR,,,120,0800-1700 MON-FR,FR,NW,"MULTILINESTRING ((-114.0992958 51.0564045, -114.099295 51.0560078))",c7d8dcb8-c710-492d-b7b1-f75a58b22685
R1095,D,D,Parallel,Active,1900 Block RAMSAY ST SE,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SE,"MULTILINESTRING ((-114.0452016 51.0367837, -114.0453549 51.0365798))",0e61c7ed-62d7-468c-bf94-9fcf42ef572e
R5875,E,E,Parallel,Active,3500 Block MORLEY TR NW,Lanes (Alleys),N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,,"MULTILINESTRING ((-114.1232055 51.0825289, -114.1232072 51.082528, -114.1232408 51.0825062, -114.1232627 51.0824889, -114.1232833 51.0824674, -114.1233018 51.0824439, -114.1233174 51.0824187, -114.1233643 51.0823486, -114.123409 51.0822823, -114.1234287 51.0822539, -114.1234392 51.0822317, -114.1234444 51.0822068))",d89bd0a3-dce5-4425-8fff-ec1ea4d30c86
R816,D,D,Parallel,Active,1900 Block RAMSAY ST SE,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SE,"MULTILINESTRING ((-114.0454612 51.0364381, -114.0454618 51.0364373, -114.0454959 51.036394, -114.0456035 51.0362488))",b86b611d-44bc-4aeb-9936-fcdc1f6bbb80
R1919,NA,NA,Parallel,Active,400 Block 8 AV SW,Residential Street,S,0001-2359 MON-SUN,,,Special Permit,NONE,FR,SW,"MULTILINESTRING ((-114.0704599 51.0460471, -114.070453 51.046144))",0054bbb4-733a-489f-8436-d54c2d11fad3
R4472,NA,NA,Parallel,Active,200 Block 8 ST SW,Residential Street,S,0001-2359 SUN,,,Special Permit,SUN,FR,SW,"MULTILINESTRING ((-114.081048 51.0508916, -114.0810444 51.0509378))",ce13c692-d83b-46c7-b490-3e4109f375e7
R1271,D,D,Parallel,Active,1900 Block RAMSAY ST SE,Residential Street,S,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SE,"MULTILINESTRING ((-114.0457506 51.0362473, -114.045714 51.0362963, -114.0456198 51.0364165, -114.0452876 51.0368605, -114.0450937 51.0371186))",ebcdbf5a-c2f3-44a4-bcc8-7f0aa398cee1
R1839,E,E,Parallel,Active,3500 Block MORLEY TR NW,Lanes (Alleys),S,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,,"MULTILINESTRING ((-114.1235589 51.0822416, -114.1235537 51.0822666, -114.1235432 51.0822888, -114.1235235 51.0823171, -114.1234788 51.0823835, -114.1234319 51.0824536, -114.1234163 51.0824788, -114.1233977 51.0825022, -114.1233771 51.0825238, -114.1233552 51.082541, -114.1233217 51.0825629, -114.1233199 51.0825637))",a9aa0e34-dc6b-408f-aed2-3c40714c49f3
R615,F,F,Parallel,Active,1900 Block 15 ST NW,Residential Street,S,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.0972592 51.0692387, -114.0972598 51.0693814, -114.0972605 51.0695426))",d5df3a18-c320-4b26-b2f8-d7df9dd7d288
R645,F,F,Parallel,Active,1900 Block 15 ST NW,Residential Street,S,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.0972445 51.0688696, -114.0972456 51.0691525))",d9b5f5c6-0276-44f0-af2c-31961081a4b9
R7590,D,D,Parallel,Active,1800 Block RAMSAY ST SE,Residential Street,S,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SE,"MULTILINESTRING ((-114.0450937 51.0371186, -114.0449793 51.0372708, -114.0449745 51.0372772, -114.044924 51.0373448, -114.0449183 51.0373521, -114.0449123 51.0373617, -114.0449052 51.0373731, -114.0448944 51.0373875, -114.0448847 51.0373994, -114.0448779 51.0374107, -114.0448707 51.0374221, -114.0448629 51.037436, -114.0448556 51.0374527, -114.0448496 51.0374665, -114.0448418 51.037481, -114.044836 51.0374978, -114.0448337 51.0375114, -114.0448311 51.0375238, -114.0448294 51.0375355, -114.0448286 51.0375481, -114.0448285 51.0375613, -114.0448283 51.0375728, -114.0448281 51.0375894, -114.0448282 51.037605, -114.0448279 51.0376201, -114.0448275 51.037637, -114.0448275 51.0376517, -114.0448273 51.0376657, -114.0448273 51.0377191, -114.0448276 51.0377321))",56d07373-b6f6-4c21-b48e-b76a328d5781
R153,Z,Z,Parallel,Active,1700 Block 2 AV NW,Residential Street,W,0800-1700 MON-FR,,,120,0800-1700 MON-FR,FR,NW,"MULTILINESTRING ((-114.0985361 51.0545052, -114.0984207 51.054505, -114.098211 51.0545046, -114.0980891 51.0545047))",f104ab15-e073-4370-bad7-d9e5e5ccf59a
R26,Z,Z,Parallel,Active,1700 Block 2 AV NW,Residential Street,W,0800-1700 MON-FR,,,120,0800-1700 MON-FR,FR,NW,"MULTILINESTRING ((-114.09917 51.054501, -114.0991289 51.054501, -114.0989409 51.0545012, -114.0987529 51.0545014, -114.0986421 51.0545014))",45690b30-4894-461c-b852-b9bc762e670b
R1841,E,E,Parallel,Active,3300 Block CAPITOL HILL CR NW,Residential Street,W,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1209997 51.081554, -114.1203108 51.081555))",0cc26c92-acff-4498-aa52-f648f1d535e7
R1926,O,O,Parallel,Active,2100 Block 20 AV SW,Collector,E,0001-2359 MON-SUN,,,Permit Required,NONE,FR,SW,"MULTILINESTRING ((-114.1096519 51.0353264, -114.1098834 51.0353095))",740968e5-4de8-4f00-ad6f-8e33f75663a6
R795,D,D,Parallel,Active,600 Block 17 AV SE,Residential Street,W,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SE,"MULTILINESTRING ((-114.0458478 51.0378822, -114.0448726 51.0378821, -114.0448519 51.0378841))",53522ecc-af3b-44e1-933c-1d87d20aeb7a
R4582,OO,OO,Parallel,Active,400 Block CANTRELL DR SW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0706947 50.9375135, -114.0706927 50.9374777, -114.0706849 50.9371588, -114.0706864 50.936915, -114.0706873 50.9367625, -114.0706937 50.9366308))",27d81b0e-2cf1-4eee-b588-204faafdd487
R7295,OO,OO,Parallel,Active,400 Block CANTRELL DR SW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0708623 50.9389, -114.0708034 50.9385637, -114.0707371 50.9380593, -114.0707247 50.9379398, -114.0707042 50.9376827, -114.0706947 50.9375135))",c964ede1-ad0d-458a-8619-3dcb5ab43bad
R736,OO,OO,Parallel,Active,400 Block CANTRELL DR SW,Residential Street,S,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0708741 50.9379515, -114.0709105 50.9382824, -114.0709311 50.9384026))",6457b0bd-8809-45be-931d-1db112615731
R7433,OO,OO,Parallel,Active,500 Block CANTRELL DR SW,Residential Street,S,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0709311 50.9384026, -114.0710077 50.9388504))",a68c07a7-7041-476c-8376-bfaaca2d2ef6
R873,OO,OO,Parallel,Active,400 Block CANTRELL DR SW,Residential Street,S,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0708562 50.9364106, -114.0708318 50.9368811, -114.0708325 50.9373981, -114.0708641 50.9378543))",b0f1f9ba-11fa-4384-b025-41d842c26d5b
R4584,OO,OO,Parallel,Active,700 Block 130 AV SW,Residential Street,W,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0718147 50.936329, -114.0717899 50.9363246, -114.0714307 50.9363204, -114.0713915 50.9363206, -114.0713523 50.9363208, -114.0713131 50.936321, -114.0712873 50.9363211, -114.070951 50.9363241))",0641dd1a-ba02-455e-8a76-be99232e9f9e
R731,GGR,GGR,Parallel,Active,3000 Block DON ETHELL BV SW,Residential Street,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1277684 51.0046927, -114.1280819 51.004697, -114.1281131 51.0046964))",7460cc1a-e68d-4511-ad8f-bd15f1c59ac2
R668,GGR,GGR,Parallel,Active,5500 Block HENWOOD ST SW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1283437 51.0037836, -114.1283554 51.0037561, -114.1283847 51.0036945, -114.1284177 51.0036338, -114.1284597 51.0035526, -114.128494 51.0034701, -114.1285206 51.0033864, -114.1285394 51.0033018, -114.1285503 51.0032168, -114.1285533 51.0031314, -114.1285528 51.0031278))",f55ee1f4-6408-4d3d-90fd-abb2045f7ec2
R804,GGR,GGR,Parallel,Active,5500 Block HENWOOD ST SW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1282517 51.0046185, -114.1282558 51.0046156, -114.1282591 51.0046036, -114.1282602 51.0045915, -114.1282601 51.0041963, -114.1282647 51.0040984, -114.1282786 51.0040008))",bdc7d8a3-2ee9-4d0d-8205-2ce452b972d7
R218,GGR,GGR,Parallel,Active,5500 Block HENWOOD ST SW,Residential Street,S,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1283997 51.0043742, -114.1283997 51.0044228, -114.1283997 51.0045713, -114.1283998 51.0046086))",d050fa8b-8318-4741-a0a2-51b75ce0d749
R931,GGR,GGR,Parallel,Active,5600 Block JOHN GARDAM AV SW,Residential Street,W,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1284464 51.0030643, -114.1284101 51.0030643, -114.1282412 51.0030644, -114.1280552 51.0030646, -114.1280517 51.0030646, -114.1280502 51.0030646))",27153168-71d5-4629-b26d-8a9938e4ea9d
R1026,M,M,Parallel,Active,100 Block 7 AV NW,Residential Street,E,0001-2359 MON-SUN,,,120,NONE,FR,NW,"MULTILINESTRING ((-114.0627865 51.0588393, -114.0629427 51.0588401, -114.0632169 51.0588402))",9ca4fbe0-cd26-4991-8eda-eecb51c05a51
R1335,X,X,Parallel,Active,2800 Block 11 AV NW,Residential Street,E,0001-2359 MON-SUN,,,120,NONE,FR,NW,"MULTILINESTRING ((-114.1258935 51.0616451, -114.1277176 51.0620303))",6d0a22e2-1393-4081-99e0-1b4d0dbe1bbc
R1361,X,X,Parallel,Active,2900 Block 14 AV NW,Residential Street,E,0001-2359 MON-SUN,,,120,NONE,FR,NW,"MULTILINESTRING ((-114.126494 51.0645865, -114.1265101 51.0645941, -114.1265446 51.0646055, -114.1269281 51.0646864, -114.1285979 51.0650398))",488b7581-76fd-4bba-b028-99b8e16a4e28
R3070,X,X,Parallel,Active,2800 Block 14 AV NW,Residential Street,E,0001-2359 MON-SUN,,,120,NONE,FR,NW,"MULTILINESTRING ((-114.1249208 51.0642715, -114.1249836 51.0642798, -114.1251291 51.0643064, -114.125655 51.0644176, -114.1258246 51.0644534, -114.1259655 51.0644832, -114.1260774 51.0645069))",c95ddff8-169a-4e35-950e-828295eb7c98
R3071,X,X,Parallel,Active,2600 Block 14 AV NW,Residential Street,E,0001-2359 MON-SUN,,,120,NONE,FR,NW,"MULTILINESTRING ((-114.1241607 51.064274, -114.1242744 51.0642605, -114.1244277 51.0642497, -114.1245567 51.064247, -114.1246999 51.0642508, -114.1248615 51.0642637, -114.1249208 51.0642715))",e19bf527-d97d-45cb-9b18-c411ca8e350f
R3072,X,X,Parallel,Active,2600 Block 14 AV NW,Residential Street,E,0001-2359 MON-SUN,,,120,NONE,FR,NW,"MULTILINESTRING ((-114.1235931 51.0643986, -114.1236795 51.0643883, -114.1237318 51.0643709, -114.1238273 51.0643425, -114.12393 51.0643165, -114.1240485 51.0642925))",8a433503-a13d-43e3-9d96-00972bea2a29
R385,X,X,Parallel,Active,1600 Block ST ANDREWS PL NW,Residential Street,E,0001-2359 MON-SUN,,,120,NONE,FR,NW,"MULTILINESTRING ((-114.1279656 51.0654153, -114.1284119 51.0651986))",9de0be02-3098-4e51-b446-cac7e4c76fb3
R4750,AUB,AUB,Parallel,Active,00 Block AUBURN BAY CL SE,Residential Street,E,0001-2359 MON-SUN,,,120,NONE,FR,SE,"MULTILINESTRING ((-113.9555546 50.8834813, -113.9555691 50.8834603, -113.955589 50.8834412, -113.9556137 50.8834245, -113.9556425 50.8834107, -113.9556746 50.8834001, -113.9557091 50.8833932, -113.9557449 50.88339, -113.9557793 50.8833903, -113.9558385 50.8833892, -113.9558971 50.8833833, -113.9559422 50.8833755, -113.9564303 50.8832802, -113.9564823 50.8832679, -113.9565316 50.8832518, -113.9565776 50.8832321, -113.9566087 50.8832195, -113.9566428 50.8832105, -113.9566788 50.8832054, -113.9567157 50.8832043, -113.9567523 50.8832072, -113.9567876 50.8832141))",342d7ebe-aef2-451d-b9df-a753c16b9096
R4751,AUB,AUB,Parallel,Active,100 Block AUBURN BAY CL SE,Residential Street,E,0001-2359 MON-SUN,,,120,NONE,FR,SE,"MULTILINESTRING ((-113.9564027 50.8844387, -113.9571342 50.8842959, -113.9571544 50.8842909, -113.957173 50.8842838, -113.9571895 50.8842749, -113.9572036 50.8842645, -113.9572149 50.8842528, -113.9572231 50.8842401))",44338dad-2299-490b-8157-4ded65b334cd
R5071,R,R,Parallel,Active,1200 Block KERWOOD CR SW,Residential Street,E,0001-2359 MON-SUN,,,120,NONE,FR,SW,"MULTILINESTRING ((-114.0886941 50.9880979, -114.0887118 50.9881022, -114.0887387 50.9881035, -114.0887552 50.9881043, -114.0888274 50.9881038, -114.0891022 50.9881041))",639000c4-b904-4516-8828-bef0d4c51aab
R7045,X,X,Parallel,Active,2900 Block 11 AV NW,Residential Street,E,0001-2359 MON-SUN,,,120,NONE,FR,NW,"MULTILINESTRING ((-114.1277176 51.0620303, -114.1292476 51.0623534))",4971ac47-0d1f-45d4-96c2-d1f43642e585
R1064,II,II,Parallel,Active,2200 Block 49 AV SW,Residential Street,E,0800-1700 MON-FRI,,,120,0800-1700 SCHOOL DAYS,FR,SW,"MULTILINESTRING ((-114.1144276 51.0099055, -114.1149189 51.0099058))",82e15cc7-78e8-46fa-b0c2-e3adb2845106
R1369,V,V,Parallel,Active,500 Block 9 AV NE,Residential Street,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NE,"MULTILINESTRING ((-114.0510346 51.0605668, -114.0512889 51.0605669, -114.0530667 51.0605766, -114.0531001 51.0605745))",61aca7d6-74d6-46a9-817c-140309fadfc0
R1407,F,F,Parallel,Active,1500 Block 19 AV NW,Residential Street,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.0954254 51.0695963, -114.095596 51.0695962, -114.0967692 51.0695957, -114.09696 51.0695956, -114.0969786 51.0695949, -114.0969969 51.0695928, -114.0970148 51.0695893))",ea4e5826-297f-4c94-8cdc-2c13d834802d
R2361,VV,VV,Parallel,Active,100 Block SHAWMEADOWS CL SW,Residential Street,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.071095 50.9121386, -114.0711098 50.9121488, -114.0711242 50.9121558, -114.0711421 50.9121619, -114.0711479 50.9121636, -114.0711537 50.9121652, -114.0711597 50.9121667, -114.0711657 50.9121681, -114.0711709 50.9121691, -114.0711761 50.9121701, -114.0711813 50.9121711, -114.0711864 50.9121721, -114.0711916 50.9121731, -114.0711967 50.9121741, -114.0712018 50.9121751, -114.0712068 50.9121761, -114.0712119 50.9121771, -114.071217 50.9121781, -114.0713537 50.9122033))",4dd54f20-1455-47dd-b766-767d88a95e9d
R295,VV,VV,Parallel,Active,100 Block SHAWMEADOWS CL SW,Residential Street,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0714251 50.9122165, -114.0716395 50.9122559, -114.0717093 50.9122688, -114.0722244 50.9123633, -114.0723617 50.9123887))",73410a43-c247-48c4-bd82-27304f700c6e
R5890,E,E,Parallel,Active,2800 Block COCHRANE RD NW,Residential Street,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1133583 51.0793525, -114.1131253 51.0792315, -114.1127526 51.0790379, -114.1123811 51.0788449, -114.1120585 51.0786904, -114.1120574 51.0786899))",0553542a-c92e-40f4-8049-0c1904a41fd0
R713,II,II,Parallel,Active,2200 Block 49 AV SW,Residential Street,E,0800-1700 MON-FRI,,,120,0800-1700 SCHOOL DAYS,FR,SW,"MULTILINESTRING ((-114.1138449 51.0099054, -114.1143341 51.0099059))",9ee2bbf1-4502-4919-94e2-8525bf904971
R718,II,II,Parallel,Active,2200 Block 49 AV SW,Residential Street,E,0800-1700 MON-FRI,,,120,0800-1700 SCHOOL DAYS,FR,SW,"MULTILINESTRING ((-114.1124262 51.0099063, -114.1129186 51.0099069))",794ce84d-8fba-4ca5-909a-77f35e39cf61
R722,II,II,Parallel,Active,2200 Block 49 AV SW,Residential Street,E,0800-1700 MON-FRI,,,120,0800-1700 SCHOOL DAYS,FR,SW,"MULTILINESTRING ((-114.1130101 51.0099068, -114.1134985 51.0099063))",b2ed4574-db5f-45a3-8464-552718e4c148
R7505,VV,VV,Parallel,Active,00 Block SHAWMEADOWS CL SW,Residential Street,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0723617 50.9123887, -114.0727277 50.9124564, -114.0728027 50.9124702, -114.0728777 50.9124841, -114.0729528 50.9124979, -114.0730278 50.9125117, -114.0731029 50.9125256, -114.0731241 50.9125295, -114.0731452 50.9125335, -114.0731664 50.9125375, -114.0731876 50.9125415, -114.0732088 50.9125455))",554cba06-8d72-47bd-8c2c-fbde19a2c6cf
